1	ACLY	chr17	-	40052872 	40052902 	0.84
2	AKAP9	chr7	+	91671359 	91671500 	0.28
3	APLP2	chr11	+	129993506 	129993674 	0.36
4	ARHGAP17	chr16	-	24950684 	24950918 	0.16
5	ARHGEF12	chr11	+	120280102 	120280159 	0.46
6	CA12	chr15	-	63620296 	63620329 	0.9
7	FLNA	chrX	-	153585618 	153585642 	0.44
8	FN1	chr2	-	216257653 	216257926 	0
9	GRHL1	chr2	+	10102583 	10102660 	0.93
10	IGF2BP3	chr7	-	23383336 	23383472 	0.88
11	INSR	chr19	-	7150507 	7150543 	0.56
12	ITGA6	chr2	+	173366499 	173366629 	0.92
13	KRAS	chr12	-	25368370 	25368494 	0
14	MADD	chr11	+	47310518 	47310578 	0.16
15	MAP3K7	chr6	-	91254270 	91254351 	0.46
16	MAP4K4	chr2	+	102487955 	102488147 	0.21
17	MYO6	chr6	+	76621388 	76621415 	0.25
18	MYOF	chr10	-	95152673 	95152712 	0.47
19	NCOR2	chr12	-	124858958 	124859009 	0.35
20	NDEL1	chr17	+	8366637 	8366672 	0.45
21	NFYA	chr6	+	41048549 	41048636 	0.07
22	OSBPL3	chr7	-	24902818 	24902911 	0.12
23	PDGFA	chr7	-	540067 	540136 	0.34
24	PLD1	chr3	-	171404474 	171404588 	0
25	RPAP3	chr12	-	48073275 	48073377 	0.6
26	SLK	chr10	+	105770573 	105770666 	0.53
27	SNX14	chr6	-	86248555 	86248582 	0.25
28	SPAG9	chr17	-	49053223 	49053262 	0.08
29	STK36	chr2	+	219553113 	219553216 	0.1
30	TBX3	chr12	-	115117717 	115117777 	0.59
31	TRERF1	chr6	-	42231057 	42231306 	0.1
32	TRIM37	chr17	-	57078958 	57079075 	0.35
33	USO1	chr4	+	76716488 	76716509 	0.82
34	UTRN	chr6	+	145148483 	145148522 	0.86
